User_ID,Datetime,Content_ID,Content_Type,category,Reaction_Type,Sentiment,score
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,07/11/2020 9:43,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,negative,0
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,17/06/2021 12:22,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,dislike,negative,10
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,18/04/2021 5:13,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,scared,negative,15
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,06/01/2021 19:13,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,negative,0
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,23/08/2020 12:25,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,interested,positive,30
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,07/12/2020 6:27,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,peeking,neutral,35
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,11/04/2021 17:35,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,cherish,positive,70
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,27/01/2021 8:32,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,hate,negative,5
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,01/04/2021 22:54,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,peeking,neutral,35
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,04/08/2020 5:05,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,love,positive,65
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,07/11/2020 8:36,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,indifferent,neutral,20
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,02/11/2020 6:28,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,scared,negative,15
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,01/11/2020 1:16,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,interested,positive,30
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,07/10/2020 18:39,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,hate,negative,5
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,03/09/2020 18:51,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,scared,negative,15
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,24/02/2021 5:09,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,super love,positive,75
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,23/09/2020 6:24,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,peeking,neutral,35
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,24/02/2021 11:37,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,indifferent,neutral,20
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,22/05/2021 19:44,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,interested,positive,30
8d3cd87d-8a31-4935-9a4f-b319bfe05f31,31/01/2021 16:03,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,intrigued,positive,45
